Country;NUE
Argentina;0.847677498
Australia;0.540884848
Belgium;0.477660104
Brazil;0.489763367
Canada;0.503382906
China;0.262367378
France;0.741859905
Germany;0.458604324
Ghana;0.609406499
Greece;0.459856556
Guadeloupe;0.053685944
Guatemala;0.293753774
Guinea;0.443653045
Guinea-Bissau;0.438533331
Guyana;0.532520669
Haiti;0.559164743
Honduras;0.102276147
Hungary;0.393517742
India;0.249920897
Indonesia;0.315279004
Iran  (Islamic Republic of);0.290222746
Iraq;0.26311096
Ireland;0.308305002
Israel;0.16453099
Italy;0.455805101
Jamaica;0.099024394
Japan;0.392903331
Jordan;0.150127142
Kazakhstan;2.000411395
Kenya;0.491527375
Dem People's Rep of Korea;0.406169461
Republic of Korea;0.238930469
Kuwait;0.001932031
Kyrgyzstan;0.522334031
Lao People's Democratic Republic;0.550487483
Latvia;0.315611854
Lebanon;0.215349707
Lesotho;0.419309846
Liberia;0.396648682
Libya;0.12115795
Lithuania;0.424127936
Luxembourg;0.107024208
The former Yugoslav Republic of Macedonia;0.49968965
Madagascar;0.515205939
Malawi;0.774150119
Malaysia;0.428702561
Mali;0.740739749
Malta;0.256177311
Mauritania;0.309081016
Mexico;0.371099018
Moldova, Republic of;1.569859655
Mongolia;0.326761962
Morocco;0.844075168
Mozambique;0.418298475
Myanmar;0.307230383
Namibia;0.095116071
Nepal;0.654941498
Netherlands;0.349190238
New Zealand;0.084425792
Nicaragua;0.489924273
Niger;1.469347286
Nigeria;0.492181617
Norway;0.227883138
Oman;0.009315307
Pakistan;0.199840916
Panama;0.270181125
Papua New Guinea;0.50290454
Paraguay;0.749722498
Peru;0.139351807
Philippines;0.424871818
Poland;0.372470254
Portugal;0.273393257
Qatar;0.015712206
Romania;0.690233632
Russian Federation;0.618786815
Rwanda;0.689561126
Saudi Arabia;0.07079879
Senegal;0.526524646
Serbia and Montenegro;0.542653484
Sierra Leone;0.46786172
Slovakia;0.545239018
Slovenia;0.091392517
South Africa;0.377109318
Spain;0.351261323
Sri Lanka;0.300592235
Sudan;0.153066619
Suriname;0.470232881
Swaziland;0.209666863
Sweden;0.521476717
Switzerland;0.334494123
Syrian Arab Republic;0.434580432
Tajikistan;0.607270333
United Republic of Tanzania;0.471577429
Thailand;0.331723381
Timor-Leste;0.78896687
Togo;0.4435062
Trinidad and Tobago;0.144765881
Tunisia;0.345786687
Turkey;0.422578931
Turkmenistan;0.122828715
Uganda;0.641987993
U.K. of Great Britain and Northern Ireland;0.417430671
Ukraine;0.675185863
United Arab Emirates;0.000155078
Uruguay;0.291400659
United States of America;0.507989461
Uzbekistan;0.114669263
Vanuatu;0.203875937
Venezuela;0.33563944
Viet Nam;0.222367452
Yemen;0.431784545
Zambia;0.424068636
Zimbabwe;0.305390187
