"Country";"NUE";"P_Mt";"Ny_kg_ha";"Ninput_kg_ha";"Nsur_kg_ha"
"China";0,262367378;99,1843948364258;38,7663726806641;147,756070042611;108,989697361947
"India";0,249920897;69,5646286010742;24,1536388397217;96,6451350393549;72,4914961996332
"United States of America";0,507989461;55,0935592651367;59,1898918151855;116,517952358042;57,3280605428566
"Russian Federation";0,618786815;46,0628509521484;29,2729415893555;47,3069898707449;18,0340482813894
"France";0,741859905;37,1595840454102;137,089309692383;184,791372021087;47,7020623287036
"Canada";0,503382906;25,2678394317627;44,8703079223633;89,1375280875416;44,2672201651783
"Germany";0,458604324;23,6789741516113;140,506286621094;306,378024078757;165,871737457663
"Pakistan";0,199840916;20,8674831390381;35,0040969848633;175,159810540817;140,155713555954
"Turkey";0,422578931;20,7707443237305;40,3176002502441;95,4084486768795;55,0908484266354
"Australia";0,540884848;19,2647075653076;38,9302520751953;71,9751204330192;33,0448683578239
